PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,methods_used,methods_name
39435445,Editorial: The operationalization of cognitive systems in the comprehension of visual structures,"Winter M, Probst T, Tallon M, Schobel J, Pryss R.",Front Neurosci. 2024 Oct 7;18:1501636. doi: 10.3389/fnins.2024.1501636. eCollection 2024.,Winter M,Front Neurosci,2024,2024/10/22,PMC11491427,,10.3389/fnins.2024.1501636,,both,['visual']
38523502,[Ergonomics and organization of remote work - health aspect and recommendations for home office organization],"Janc M, Lipiec E, JÃ³Åºwiak Z, PolaÅska K, Makowiec-DÄbrowska T.",Med Pr. 2024 Mar 22;75(1):69-80. doi: 10.13075/mp.5893.01493. Epub 2024 Feb 5.,Janc M,Med Pr,2024,2024/03/25,,,10.13075/mp.5893.01493,"Analyses of the economic activity of the Polish population indicate that in 2023, about 7% of all employees performed, usually or sometimes, their work in the form of remote work. The purpose of this publication is to analyze the impact of working with screen-monitor devices on computer vision syndromes, musculoskeletal disorders, circadian rhythm, and to identify recommendations for the proper organization of the home office. A narrative review of the existing literature on the impact of work with the use of devices equipped with screen monitors on the health of employees was performed, as well as recommendations in the above-mentioned area were presented. The most important factors determining the load on the visual organs and musculoskeletal system and affecting the overall health and well-being of employees during remote work are the proper arrangement of the workstation (in accordance with ergonomic principles) and the organization of work (limiting the time spent working at the computer/laptop, systematic active breaks) and healthy sleep habits. It is crucial that both employers, occupational health professionals and employees themselves are aware of the importance to their health of correct preparation of the home office, and have adequate knowledge in this regard. Med Pr Work Health Saf. 2024;75(1):69-80.",both,"['computer vision', 'vision', 'visual']"
36799341,"Implementable Deep Learning for Multi-sequence Proton MRI Lung Segmentation: A Multi-center, Multi-vendor, and Multi-disease Study","Astley JR, Biancardi AM, Hughes PJC, Marshall H, Collier GJ, Chan HF, Saunders LC, Smith LJ, Brook ML, Thompson R, Rowland-Jones S, Skeoch S, Bianchi SM, Hatton MQ, Rahman NM, Ho LP, Brightling CE, Wain LV, Singapuri A, Evans RA, Moss AJ, McCann GP, Neubauer S, Raman B; C-MORE/PHOSP-COVID Collaborative Group; Wild JM, Tahir BA.",J Magn Reson Imaging. 2023 Oct;58(4):1030-1044. doi: 10.1002/jmri.28643. Epub 2023 Feb 17.,Astley JR,J Magn Reson Imaging,2023,2023/02/17,PMC10946727,,10.1002/jmri.28643,"BACKGROUND: Recently, deep learning via convolutional neural networks (CNNs) has largely superseded conventional methods for proton (1 H)-MRI lung segmentation. However, previous deep learning studies have utilized single-center data and limited acquisition parameters.
PURPOSE: Develop a generalizable CNN for lung segmentation in 1 H-MRI, robust to pathology, acquisition protocol, vendor, and center.
STUDY TYPE: Retrospective.
POPULATION: A total of 809 1 H-MRI scans from 258 participants with various pulmonary pathologies (median age (range): 57 (6-85); 42% females) and 31 healthy participants (median age (range): 34 (23-76); 34% females) that were split into training (593 scans (74%); 157 participants (55%)), testing (50 scans (6%); 50 participants (17%)) and external validation (164 scans (20%); 82 participants (28%)) sets.
FIELD STRENGTH/SEQUENCE: 1.5-T and 3-T/3D spoiled-gradient recalled and ultrashort echo-time 1 H-MRI.
ASSESSMENT: 2D and 3D CNNs, trained on single-center, multi-sequence data, and the conventional spatial fuzzy c-means (SFCM) method were compared to manually delineated expert segmentations. Each method was validated on external data originating from several centers. Dice similarity coefficient (DSC), average boundary Hausdorff distance (Average HD), and relative error (XOR) metrics to assess segmentation performance.
STATISTICAL TESTS: Kruskal-Wallis tests assessed significances of differences between acquisitions in the testing set. Friedman tests with post hoc multiple comparisons assessed differences between the 2D CNN, 3D CNN, and SFCM. Bland-Altman analyses assessed agreement with manually derived lung volumes. A P value of <0.05 was considered statistically significant.
RESULTS: The 3D CNN significantly outperformed its 2D analog and SFCM, yielding a median (range) DSC of 0.961 (0.880-0.987), Average HD of 1.63âmm (0.65-5.45) and XOR of 0.079 (0.025-0.240) on the testing set and a DSC of 0.973 (0.866-0.987), Average HD of 1.11âmm (0.47-8.13) and XOR of 0.054 (0.026-0.255) on external validation data.
DATA CONCLUSION: The 3D CNN generated accurate 1 H-MRI lung segmentations on a heterogenous dataset, demonstrating robustness to disease pathology, sequence, vendor, and center.
EVIDENCE LEVEL: 4.
TECHNICAL EFFICACY: Stage 1.",both,"['deep learning', 'neural network', 'convolutional neural network', 'convolutional neural network']"
36702828,Author Correction: Federated learning enables big data for rare cancer boundary detection,"Pati S, Baid U, Edwards B, Sheller M, Wang SH, Reina GA, Foley P, Gruzdev A, Karkada D, Davatzikos C, Sako C, Ghodasara S, Bilello M, Mohan S, Vollmuth P, Brugnara G, Preetha CJ, Sahm F, Maier-Hein K, Zenk M, Bendszus M, Wick W, Calabrese E, Rudie J, Villanueva-Meyer J, Cha S, Ingalhalikar M, Jadhav M, Pandey U, Saini J, Garrett J, Larson M, Jeraj R, Currie S, Frood R, Fatania K, Huang RY, Chang K, BalaÃ±a C, Capellades J, Puig J, Trenkler J, Pichler J, Necker G, Haunschmidt A, Meckel S, Shukla G, Liem S, Alexander GS, Lombardo J, Palmer JD, Flanders AE, Dicker AP, Sair HI, Jones CK, Venkataraman A, Jiang M, So TY, Chen C, Heng PA, Dou Q, Kozubek M, Lux F, MichÃ¡lek J, Matula P, KeÅkovskÃ½ M, KopÅivovÃ¡ T, DostÃ¡l M, VybÃ­hal V, Vogelbaum MA, Mitchell JR, Farinhas J, Maldjian JA, Yogananda CGB, Pinho MC, Reddy D, Holcomb J, Wagner BC, Ellingson BM, Cloughesy TF, Raymond C, Oughourlian T, Hagiwara A, Wang C, To MS, Bhardwaj S, Chong C, Agzarian M, FalcÃ£o AX, Martins SB, Teixeira BCA, Sprenger F, Menotti D, Lucio DR, LaMontagne P, Marcus D, Wiestler B, Kofler F, Ezhov I, Metz M, et al.",Nat Commun. 2023 Jan 26;14(1):436. doi: 10.1038/s41467-023-36188-7.,Pati S,Nat Commun,2023,2023/01/26,PMC9879935,,10.1038/s41467-023-36188-7,,both,['llm']
34153749,Social-distancing fatigue: Evidence from real-time crowd-sourced traffic data,"Shearston JA, Martinez ME, Nunez Y, Hilpert M.",Sci Total Environ. 2021 Oct 20;792:148336. doi: 10.1016/j.scitotenv.2021.148336. Epub 2021 Jun 8.,Shearston JA,Sci Total Environ,2021,2021/06/21,PMC8403631,NIHMS1716849,10.1016/j.scitotenv.2021.148336,"INTRODUCTION: To mitigate the COVID-19 pandemic and prevent overwhelming the healthcare system, social-distancing policies such as school closure, stay-at-home orders, and indoor dining closure have been utilized worldwide. These policies function by reducing the rate of close contact within populations and result in decreased human mobility. Adherence to social distancing can substantially reduce disease spread. Thus, quantifying human mobility and social-distancing compliance, especially at high temporal resolution, can provide great insight into the impact of social distancing policies.
METHODS: We used the movement of individuals around New York City (NYC), measured via traffic levels, as a proxy for human mobility and the impact of social-distancing policies (i.e., work from home policies, school closure, indoor dining closure etc.). By data mining Google traffic in real-time, and applying image processing, we derived high resolution time series of traffic in NYC. We used time series decomposition and generalized additive models to quantify changes in rush hour/non-rush hour, and weekday/weekend traffic, pre-pandemic and following the roll-out of multiple social distancing interventions.
RESULTS: Mobility decreased sharply on March 14, 2020 following declaration of the pandemic. However, levels began rebounding by approximately April 13, almost 2 months before stay-at-home orders were lifted, indicating premature increase in mobility, which we term social-distancing fatigue. We also observed large impacts on diurnal traffic congestion, such that the pre-pandemic bi-modal weekday congestion representing morning and evening rush hour was dramatically altered. By September, traffic congestion rebounded to approximately 75% of pre-pandemic levels.
CONCLUSION: Using crowd-sourced traffic congestion data, we described changes in mobility in Manhattan, NYC, during the COVID-19 pandemic. These data can be used to inform human mobility changes during the current pandemic, in planning for responses to future pandemics, and in understanding the potential impact of large-scale traffic interventions such as congestion pricing policies.",both,"['image processing', 'image processing']"
33595529,Computer vision syndrome in the time of COVID-19: Is blue-blocking lens a panacea for digital eye strain?,"Sivaraman V, Janarthanam JB.",Indian J Ophthalmol. 2021 Mar;69(3):779. doi: 10.4103/ijo.IJO_3786_20.,Sivaraman V,Indian J Ophthalmol,2021,2021/02/17,PMC7942113,,10.4103/ijo.IJO_3786_20,,both,['vision']
33370644,Skin lesions of face and scalp - Classification by a market-approved convolutional neural network in comparison with 64 dermatologists,"Haenssle HA, Winkler JK, Fink C, Toberer F, Enk A, Stolz W, Deinlein T, Hofmann-Wellenhof R, Kittler H, Tschandl P, Rosendahl C, Lallas A, Blum A, Abassi MS, Thomas L, Tromme I, Rosenberger A; Reader study level-I and level-II Groups Christina Alt.",Eur J Cancer. 2021 Feb;144:192-199. doi: 10.1016/j.ejca.2020.11.034. Epub 2020 Dec 25.,Haenssle HA,Eur J Cancer,2021,2020/12/28,,,10.1016/j.ejca.2020.11.034,"BACKGROUND: The clinical differentiation of face and scalp lesions (FSLs) is challenging even for trained dermatologists. Studies comparing the diagnostic performance of a convolutional neural network (CNN) with dermatologists in FSL are lacking.
METHODS: A market-approved CNN (Moleanalyzer-Pro, FotoFinder Systems) was used for binary classifications of 100 dermoscopic images of FSL. The same lesions were used in a two-level reader study including 64 dermatologists (level I: dermoscopy only; level II: dermoscopy, clinical close-up images, textual information). Primary endpoints were the CNN's sensitivity and specificity in comparison with the dermatologists' management decisions in level II. Generalizability of the CNN results was tested by using four additional external data sets.
RESULTS: The CNN's sensitivity, specificityÂ and ROC AUC were 96.2% [87.0%-98.9%], 68.8% [54.7%-80.1%]Â and 0.929 [0.880-0.978], respectively. In level II, the dermatologists' management decisions showed a mean sensitivity of 84.2% [82.2%-86.2%] and specificity of 69.4% [66.0%-72.8%]. When fixing the CNN's specificity at the dermatologists' mean specificity (69.4%), the CNN's sensitivity (96.2% [87.0%-98.9%]) was significantly higher than that of dermatologists (84.2% [82.2%-86.2%]; pÂ <Â 0.001). Dermatologists of all training levels were outperformed by the CNN (all pÂ <Â 0.001). In confirmation, the CNN's accuracy (83.0%) was significantly higher than dermatologists' accuracies in level II management decisions (all pÂ <Â 0.001). The CNN's performance was largely confirmed in three additional external data sets but particularly showed a reduced specificity in one Australian data set including FSL on severely sun-damaged skin.
CONCLUSIONS: When applied as an assistant system, the CNN's higher sensitivity at an equivalent specificity may result in an improved early detection of face and scalp skin cancers.",both,"['dl', 'neural network', 'convolutional neural network', 'convolutional neural network']"
33120622,Impact of the COVID-19 lockdown on digital device-related ocular health,"Bahkir FA, Grandee SS.",Indian J Ophthalmol. 2020 Nov;68(11):2378-2383. doi: 10.4103/ijo.IJO_2306_20.,Bahkir FA,Indian J Ophthalmol,2020,2020/10/30,PMC7774196,,10.4103/ijo.IJO_2306_20,"PURPOSE: Since the declaration of the lockdown due to COVID-19, the usage of digital devices has gone up across the globe, resulting in a challenge for the visual systems of all ages. The purpose of this study is to assess the impact of the lockdown on digital device usage, and consequently, the ocular surface health implications and circadian rhythm abnormalities related to digital eye strain.
METHODS: An open online survey was sent through various social media platforms and was open for a period of 2 weeks.
RESULTS: A total of 407 usable responses were obtained; the average age of respondents was 27.4 years. Typically, 93.6% of respondents reported an increase in their screen time since the lockdown was declared. The average increase in digital device usage was calculated at about 4.8 Â± 2.8 h per day. The total usage per day was found to be 8.65 Â± 3.74 hours. Sleep disturbances have been reported by 62.4% of people. Typically, 95.8% of respondents had experienced at least one symptom related to digital device usage, and 56.5% said that the frequency and intensity of these symptoms increased since the lockdown was declared.
CONCLUSION: The study highlighted the drastic increase in use of digital devices after the initiation of the COVID-19 lockdown, and along with it, the slow deterioration of ocular health across all age groups. Awareness about prevention of digital eye strain should be stressed, and going forward, measures to bring these adverse effects to a minimum should be explored.",both,['visual']
32847948,Association of initial imaging modality and futile recanalization after thrombectomy,"Meinel TR, Kaesmacher J, Mosimann PJ, Seiffge D, Jung S, Mordasini P, Arnold M, Goeldlin M, Hajdu SD, OlivÃ©-Gadea M, Maegerlein C, Costalat V, Pierot L, Schaafsma JD, Fischer U, Gralla J.",Neurology. 2020 Oct 27;95(17):e2331-e2342. doi: 10.1212/WNL.0000000000010614. Epub 2020 Aug 26.,Meinel TR,Neurology,2020,2020/08/28,PMC7682915,,10.1212/WNL.0000000000010614,"OBJECTIVE: To test the hypothesis that selection by initial imaging modality (MRI vs CT) is associated with rate of futile recanalizations (FRs) after mechanical thrombectomy (MT), we assessed this association in a multicenter, retrospective observational registry (BEYOND-SWIFT [Registry for Evaluating Outcome of Acute Ischemic Stroke Patients Treated With Mechanical Thrombectomy], NCT03496064).
METHODS: In 2,011 patients (49.7% female, median age 73 years [61-81]) included between 2009 and 2017, we performed univariate and multivariate analyses regarding the occurrence of FR. FRs were defined as 90-day modified Rankin Scale (mRS) score 4-6 despite successful recanalization in patients selected by MRI (n = 690) and CT (n = 1,321) with a sensitivity analysis considering only patients with mRS 5-6 as futile.
RESULTS: MRI as compared to CT resulted in similar rates of subsequent MT (adjusted odds ratio [aOR] 1.048, 95% confidence interval [CI] 0.677-1.624). Rates of FR were as follows: 571/1,489 (38%) FR mRS 4-6 including 393/1,489 (26%) FR mRS 5-6. CT-based selection was associated with increased rates of FRs compared to MRI (44% [41%-47%] vs 29% [25%-32%], p &lt; 0.001; aOR 1.77 [95% CI 1.25-2.51]). These findings were robust in sensitivity analysis. MRI-selected patients had a delay of approximately 30 minutes in workflow metrics in real-world university comprehensive stroke centers. However, functional outcome and mortality were more favorable in patients selected by MRI compared to patients selected with CT.
CONCLUSIONS: CT selection for MT was associated with an increased risk of FRs as compared to MRI selection. Efforts are needed to shorten workflow delays in MRI patients. Further research is needed to clarify the role of the initial imaging modality on FR occurrence and to develop a reliable FR prediction algorithm.",both,['dl']
32621530,Keeping the bloodline of haematology medical education flowing during a pandemic,"Cheong MA, Chee YL, Ng HJ, Jen WY.",Int J Lab Hematol. 2020 Oct;42(5):e196-e198. doi: 10.1111/ijlh.13275. Epub 2020 Jul 4.,Cheong MA,Int J Lab Hematol,2020,2020/07/05,,,10.1111/ijlh.13275,,both,['dl']
32073531,Severe Late-Onset Kawasaki Disease Successfully Treated With Anakinra,"Blonz G, Lacroix S, Benbrik N, Warin-Fresse K, Masseau A, Trewick D, Hamidou M, Stephan JL, NÃ©el A.",J Clin Rheumatol. 2020 Mar;26(2):e42-e43. doi: 10.1097/RHU.0000000000000814.,Blonz G,J Clin Rheumatol,2020,2020/02/20,,,10.1097/RHU.0000000000000814,,both,[]
31844890,A randomized controlled phase III study of VB-111 combined with bevacizumab vs bevacizumab monotherapy in patients with recurrent glioblastoma (GLOBE),"Cloughesy TF, Brenner A, de Groot JF, Butowski NA, Zach L, Campian JL, Ellingson BM, Freedman LS, Cohen YC, Lowenton-Spier N, Rachmilewitz Minei T, Fain Shmueli S; GLOBE Study Investigators; Wen PY.",Neuro Oncol. 2020 May 15;22(5):705-717. doi: 10.1093/neuonc/noz232.,Cloughesy TF,Neuro Oncol,2020,2019/12/18,PMC7229248,,10.1093/neuonc/noz232,"BACKGROUND: Ofranergene obadenovec (VB-111) is an anticancer viral therapy that demonstrated in a phase II study a survival benefit for patients with recurrent glioblastoma (rGBM) who were primed with VB-111 monotherapy that was continued after progression with concomitant bevacizumab.
METHODS: This pivotal phase III randomized, controlled trial compared the efficacy and safety of upfront combination of VB-111 and bevacizumab versus bevacizumab monotherapy. Patients were randomized 1:1 to receive VB-111 1013 viral particles every 8 weeks in combination with bevacizumab 10 mg/kg every 2 weeks (combination arm) or bevacizumab monotherapy (control arm). The primary endpoint was overall survival (OS), and secondary endpoints were objective response rate (ORR) by Response Assessment in Neuro-Oncology (RANO) criteria and progression-free survival (PFS).
RESULTS: Enrolled were 256 patients at 57 sites. Median exposure to VB-111 was 4 months. The study did not meet its primary or secondary goals. Median OS was 6.8 versus 7.9 months in the combination versus control arm (hazard ratio, 1.20; 95% CI: 0.91-1.59; Pâ=â0.19) and ORR was 27.3% versus 21.9% (Pâ=â0.26). A higher rate of grades 3-5 adverse events was reported in the combination arm (67% vs 40%), mainly attributed to a higher rate of CNS and flu-like/fever events. Trends for improved survival with combination treatment were seen in the subgroup of patients with smaller tumors and in patients who had a posttreatment febrile reaction.
CONCLUSIONS: In this study, upfront concomitant administration of VB-111 and bevacizumab failed to improve outcomes in rGBM. Change of treatment regimen, with the lack of VB-111 monotherapy priming, may explain the differences from the favorable phase II results.
CLINICAL TRIALS REGISTRATION: NCT02511405.",both,[]
31676839,Identifying the waist circumference of risk in people of African descent,"Sumner AE, Bagheri MH.",Nat Rev Endocrinol. 2020 Jan;16(1):1-3. doi: 10.1038/s41574-019-0289-0.,Sumner AE,Nat Rev Endocrinol,2020,2019/11/03,,,10.1038/s41574-019-0289-0,,both,[]
31375514,Tumor Growth Rate as a Validated Early Radiological Biomarker Able to Reflect Treatment-Induced Changes in Neuroendocrine Tumors: The GREPONET-2 Study,"Lamarca A, Ronot M, Moalla S, Crona J, Opalinska M, Lopez Lopez C, Pezzutti D, Najran P, Carvhalo L, Bezerra ROF, Borg P, Vietti Violi N, Vidal Trueba H, de Mestier L, Scaefer N, Baudin E, Sundin A, Costa F, Pavel M, Dromain C.",Clin Cancer Res. 2019 Nov 15;25(22):6692-6699. doi: 10.1158/1078-0432.CCR-19-0963. Epub 2019 Aug 2.,Lamarca A,Clin Cancer Res,2019,2019/08/04,,,10.1158/1078-0432.CCR-19-0963,"PURPOSE: Tumor growth rate (TGR) represents the percentage change in tumor volume per month (%/m). Previous results from the GREPONET study showed that TGR measured after 3 months (TGR<sub>3m</sub>) of starting systemic treatment (ST) or watch and wait (WW) was an early biomarker predicting progression-free survival (PFS) in neuroendocrine tumors (NET).
EXPERIMENTAL DESIGN: Patients from 7 centers with advanced grade (G) 1/2 NETs from the pancreas (P)/small bowel (SB) initiating ST/WW were eligible. Computed tomography (CT)/MRI performed at prebaseline, baseline, and 3(Â±1) months of study entry were retrospectively reviewed. Aim-1: explore treatment-induced changes in TGR (ÎTGR<sub>3m-BL</sub>; paired T test), and Aim-2: validate TGR<sub>3m</sub> (&lt;0.8%/m vs. â¥0.8%/m) as an early biomarker in an independent cohort (Kaplan-Meier/Cox regression).
RESULTS: Of 785 patients screened, 127 were eligible. Mean (SD) TGR<sub>0</sub> and TGR<sub>3m</sub> were 5.4%/m (14.9) and -1.4%/m (11.8), respectively. Mean (SD) ÎTGR<sub>3m-BL</sub> paired-difference was -6.8%/m (19.3; P &lt; 0.001). Most marked ÎTGR<sub>3m-BL</sub> [mean (SD)] were identified with targeted therapies [-11.3%/m (4.7); P = 0.0237] and chemotherapy [-7.9%/m (3.4); P = 0.0261]. Multivariable analysis confirmed the absence of previous treatment (OR = 4.65; 95% CI, 1.31-16.52; P = 0.018) and low TGR<sub>3m</sub> (continuous variable; OR 1.09; 95% CI, 1.01-1.19; P = 0.042) to be independent predictors of radiologic objective response. When the multivariable survival analysis for PFS (Cox regression) was adjusted to grade (P = 0.004) and stage (P = 0.017), TGR<sub>3m</sub> â¥ 0.8 (vs. &lt;0.8) maintained its significance as a prognostic factor (P &lt; 0.001), whereas TGR<sub>0</sub> and ÎTGR<sub>3m-BL</sub> did not. TGR<sub>3m</sub> â¥ 0.8%/m was confirmed as an independent prognostic factor for PFS [external validation; Aim-2; multivariable HR 2.21 (95% CI, 1.21-3.70; P = 0.003)].
CONCLUSIONS: TGR has a role as a biomarker for monitoring response to therapy for early identification of treatment-induced changes and for early prediction of PFS and radiologic objective response.",both,[]
