PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,methods_used,methods_name
38764024,Using image segmentation models to analyse high-resolution earth observation data: new tools to monitor disease risks in changing environments,"Trujillano F, Jimenez G, Manrique E, Kahamba NF, Okumu F, Apollinaire N, Carrasco-Escobar G, Barrett B, Fornace K.",Int J Health Geogr. 2024 May 19;23(1):13. doi: 10.1186/s12942-024-00371-w.,Trujillano F,Int J Health Geogr,2024,2024/05/19,PMC11102859,,10.1186/s12942-024-00371-w,"BACKGROUND: In the near future, the incidence of mosquito-borne diseases may expand to new sites due to changes in temperature and rainfall patterns caused by climate change. Therefore, there is a need to use recent technological advances to improve vector surveillance methodologies. Unoccupied Aerial Vehicles (UAVs), often called drones, have been used to collect high-resolution imagery to map detailed information on mosquito habitats and direct control measures to specific areas. Supervised classification approaches have been largely used to automatically detect vector habitats. However, manual data labelling for model training limits their use for rapid responses. Open-source foundation models such as the Meta AI Segment Anything Model (SAM) can facilitate the manual digitalization of high-resolution images. This pre-trained model can assist in extracting features of interest in a diverse range of images. Here, we evaluated the performance of SAM through the Samgeo package, a Python-based wrapper for geospatial data, as it has not been applied to analyse remote sensing images for epidemiological studies.
RESULTS: We tested the identification of two land cover classes of interest: water bodies and human settlements, using different UAV acquired imagery across five malaria-endemic areas in Africa, South America, and Southeast Asia. We employed manually placed point prompts and text prompts associated with specific classes of interest to guide the image segmentation and assessed the performance in the different geographic contexts. An average Dice coefficient value of 0.67 was obtained for buildings segmentation and 0.73 for water bodies using point prompts. Regarding the use of text prompts, the highest Dice coefficient value reached 0.72 for buildings and 0.70 for water bodies. Nevertheless, the performance was closely dependent on each object, landscape characteristics and selected words, resulting in varying performance.
CONCLUSIONS: Recent models such as SAM can potentially assist manual digitalization of imagery by vector control programs, quickly identifying key features when surveying an area of interest. However, accurate segmentation still requires user-provided manual prompts and corrections to obtain precise segmentation. Further evaluations are necessary, especially for applications in rural areas.",other,[]
38710314,"Synthetic, non-person related panoramic radiographs created by generative adversarial networks in research, clinical, and teaching applications","Schoenhof R, Schoenhof R, Blumenstock G, Lethaus B, Hoefert S.",J Dent. 2024 Jul;146:105042. doi: 10.1016/j.jdent.2024.105042. Epub 2024 May 4.,Schoenhof R,J Dent,2024,2024/05/06,,,10.1016/j.jdent.2024.105042,"OBJECTIVES: Generative Adversarial Networks (GANs) can produce synthetic images free from personal data. They hold significant value in medical research, where data protection is increasingly regulated. Panoramic radiographs (PRs) are a well-suited modality due to their significant level of standardization while simultaneously displaying a high degree of personally identifiable data.
METHODS: We produced synthetic PRs (syPRs) out of real PRs (rePRs) using StyleGAN2-ADA by NVIDIAÂ©. A survey was performed on 54 medical professionals and 33 dentistry students. They assessed 45 radiological images (20 rePRs, 20 syPRs, and 5 syPRcontrols) as real or synthetic and interpreted a single-image syPR according to the image quality (0-10) and 14 different items (agreement/disagreement). They also rated the importance for the profession (0-10). A follow-up was performed for test-retest reliability with >10 % of all participants.
RESULTS: Overall, the sensitivity was 78.2 % and the specificity was 82.5 %. For professionals, the sensitivity was 79.9 % and the specificity was 82.3 %. For students, the sensitivity was 75.5 % and the specificity was 82.7 %. In the single syPR-interpretation image quality was rated at a median of 6 and 11 items were considered as agreement. The importance for the profession was rated at a median score of 7. The Test-retest reliability yielded a value of 0.23 (Cohen's kappa).
CONCLUSIONS: The study marks a comprehensive testing to demonstrate that GANs can produce synthetic radiological images that even health professionals can sometimes not differentiate from real radiological images, thereby being genuinely considered authentic. This enables their utilization and/or modification free from personally identifiable information.
CLINICAL SIGNIFICANCE: Synthetic images can be used for university teaching and patient education without relying on patient-related data. They can also be utilized to upscale existing training datasets to improve the accuracy of AI-based diagnostic systems. The study thereby supports clinical teaching as well as diagnostic and therapeutic decision-making.",other,"['generative', 'generative adversarial network']"
38336286,Cisplatin induces BDNF downregulation in middle-aged female rat model while BDNF enhancement attenuates cisplatin neurotoxicity,"Lomeli N, Pearre DC, Cruz M, Di K, Ricks-Oddie JL, Bota DA.",Exp Neurol. 2024 May;375:114717. doi: 10.1016/j.expneurol.2024.114717. Epub 2024 Feb 8.,Lomeli N,Exp Neurol,2024,2024/02/09,PMC11087041,NIHMS1986784,10.1016/j.expneurol.2024.114717,"Cancer-related cognitive impairments (CRCI) are neurological complications associated with cancer treatment, and greatly affect cancer survivors' quality of life. Brain-derived neurotrophic factor (BDNF) plays an essential role in neurogenesis, learning and memory. The reduction of BDNF is associated with the decrease in cognitive function in various neurological disorders. Few pre-clinical studies have reported on the effects of chemotherapy and medical stress on BDNF levels and cognition. The present study aimed to compare the effects of medical stress and cisplatin on serum BDNF levels and cognitive function in 9-month-old female Sprague Dawley rats to age-matched controls. Serum BDNF levels were collected longitudinally during cisplatin treatment, and cognitive function was assessed by novel object recognition (NOR) 14Â weeks post-cisplatin initiation. Terminal BDNF levels were collected 24Â weeks after cisplatin initiation. In cultured hippocampal neurons, we screened three neuroprotective agents, riluzole (an approved treatment for amyotrophic lateral sclerosis), as well as the ampakines CX546 and CX1739. We assessed dendritic arborization by Sholl analysis and dendritic spine density by quantifying postsynaptic density-95 (PSD-95) puncta. Cisplatin and exposure to medical stress reduced serum BDNF levels and impaired object discrimination in NOR compared to age-matched controls. Pharmacological BDNF augmentation protected neurons against cisplatin-induced reductions in dendritic branching and PSD-95. Ampakines (CX546 and CX1739) and riluzole did not affect the antitumor efficacy of cisplatin in vitro. In conclusion, we established the first middle-aged rat model of cisplatin-induced CRCI, assessing the contribution of medical stress and longitudinal changes in BDNF levels on cognitive function, although future studies are warranted to assess the efficacy of BDNF enhancement in vivo on synaptic plasticity. Collectively, our results indicate that cancer treatment exerts long-lasting changes in BDNF levels, and support BDNF enhancement as a potential preventative approach to target CRCI with therapeutics that are FDA approved and/or in clinical study for other indications.",other,"['dl', 'object recognition', 'object recognition']"
37894313,Detection of Malignant Skin Lesions Based on Decision Fusion of Ensembles of Neural Networks,"Ichim L, Mitrica RI, Serghei MO, Popescu D.",Cancers (Basel). 2023 Oct 11;15(20):4946. doi: 10.3390/cancers15204946.,Ichim L,Cancers (Basel),2023,2023/10/28,PMC10605379,,10.3390/cancers15204946,"Today, skin cancer, and especially melanoma, is an increasing and dangerous health disease. The high mortality rate of some types of skin cancers needs to be detected in the early stages and treated urgently. The use of neural network ensembles for the detection of objects of interest in images has gained more and more interest due to the increased performance of the results. In this sense, this paper proposes two ensembles of neural networks, based on the fusion of the decisions of the component neural networks for the detection of four skin lesions (basal cancer cell, melanoma, benign keratosis, and melanocytic nevi). The first system is based on separate learning of three neural networks (MobileNet V2, DenseNet 169, and EfficientNet B2), with multiple weights for the four classes of lesions and weighted overall prediction. The second system is made up of six binary models (one for each pair of classes) for each network; the fusion and prediction are conducted by weighted summation per class and per model. In total, 18 such binary models will be considered. The 91.04% global accuracy of this set of binary models is superior to the first system (89.62%). Separately, only for the binary classifications within the system was the individual accuracy better. The individual F1 score for each class and the global system varied from 81.36% to 94.17%. Finally, a critical comparison is made with similar works from the literature.",other,"['neural network', 'ensemble']"
36837613,Computer Vision Syndrome: An Ophthalmic Pathology of the Modern Era,"Pavel IA, Bogdanici CM, Donica VC, Anton N, Savu B, Chiriac CP, Pavel CD, Salavastru SC.",Medicina (Kaunas). 2023 Feb 20;59(2):412. doi: 10.3390/medicina59020412.,Pavel IA,Medicina (Kaunas),2023,2023/02/25,PMC9961559,,10.3390/medicina59020412,"Digital device usage has increased significantly in last decade among all age groups, both for educational and recreational purposes. Computer vision syndrome (CVS), also known as digital eye strain (DES), represents a range of ocular, musculoskeletal, and behavioral conditions caused by prolonged use of devices with digital screens. This paper reviews the principal environmental, ocular, and musculoskeletal causes for this condition. Due to the high prevalence of DES and frequent usage of digital devices, it is important that eye care practitioners be able to provide advice and management options based on quality research evidence.",other,['vision']
35957860,Deep Learning-Based Automatic Assessment of Lung Impairment in COVID-19 Pneumonia: Predicting Markers of Hypoxia With Computer Vision,"Statsenko Y, Habuza T, Talako T, Pazniak M, Likhorad E, Pazniak A, Beliakouski P, Gelovani JG, Gorkom KN, Almansoori TM, Al Zahmi F, Qandil DS, Zaki N, Elyassami S, Ponomareva A, Loney T, Naidoo N, Mannaerts GHH, Al Koteesh J, Ljubisavljevic MR, Das KM.",Front Med (Lausanne). 2022 Jul 26;9:882190. doi: 10.3389/fmed.2022.882190. eCollection 2022.,Statsenko Y,Front Med (Lausanne),2022,2022/08/12,PMC9360571,,10.3389/fmed.2022.882190,"BACKGROUND: Hypoxia is a potentially life-threatening condition that can be seen in pneumonia patients.
OBJECTIVE: We aimed to develop and test an automatic assessment of lung impairment in COVID-19 associated pneumonia with machine learning regression models that predict markers of respiratory and cardiovascular functioning from radiograms and lung CT.
MATERIALS AND METHODS: We enrolled a total of 605 COVID-19 cases admitted to Al Ain Hospital from 24 February to 1 July 2020 into the study. The inclusion criteria were as follows: age â¥ 18 years; inpatient admission; PCR positive for SARS-CoV-2; lung CT available at PACS. We designed a CNN-based regression model to predict systemic oxygenation markers from lung CT and 2D diagnostic images of the chest. The 2D images generated by averaging CT scans were analogous to the frontal and lateral view radiograms. The functional (heart and breath rate, blood pressure) and biochemical findings (SpO<sub>2</sub>, H C O 3 -   , K +, Na +, anion gap, C-reactive protein) served as ground truth.
RESULTS: Radiologic findings in the lungs of COVID-19 patients provide reliable assessments of functional status with clinical utility. If fed to ML models, the sagittal view radiograms reflect dyspnea more accurately than the coronal view radiograms due to the smaller size and the lower model complexity. Mean absolute error of the models trained on single-projection radiograms was approximately 11Ã·12% and it dropped by 0.5Ã·1% if both projections were used (11.97 Â± 9.23 vs. 11.43 Â± 7.51%; p = 0.70). Thus, the ML regression models based on 2D images acquired in multiple planes had slightly better performance. The data blending approach was as efficient as the voting regression technique: 10.90 Â± 6.72 vs. 11.96 Â± 8.30%, p = 0.94. The models trained on 3D images were more accurate than those on 2D: 8.27 Â± 4.13 and 11.75 Â± 8.26%, p = 0.14 before lung extraction; 10.66 Â± 5.83 and 7.94 Â± 4.13%, p = 0.18 after the extraction. The lung extraction boosts 3D model performance unsubstantially (from 8.27 Â± 4.13 to 7.94 Â± 4.13%; p = 0.82). However, none of the differences between 3D and 2D were statistically significant.
CONCLUSION: The constructed ML algorithms can serve as models of structure-function association and pathophysiologic changes in COVID-19. The algorithms can improve risk evaluation and disease management especially after oxygen therapy that changes functional findings. Thus, the structural assessment of acute lung injury speaks of disease severity.",other,[]
35115902,A Novel Deep Learning-Based Black Fungus Disease Identification Using Modified Hybrid Learning Methodology,"Karthikeyan S, Ramkumar G, Aravindkumar S, Tamilselvi M, Ramesh S, Ranjith A.",Contrast Media Mol Imaging. 2022 Jan 27;2022:4352730. doi: 10.1155/2022/4352730. eCollection 2022.,Karthikeyan S,Contrast Media Mol Imaging,2022,2022/02/04,PMC8793349,,10.1155/2022/4352730,"Currently, countries across the world are suffering from a prominent viral infection called COVID-19. Most countries are still facing several issues due to this disease, which has resulted in several fatalities. The first COVID-19 wave caused devastation across the world owing to its virulence and led to a massive loss in human lives, impacting the country's economy drastically. A dangerous disease called mucormycosis was discovered worldwide during the second COVID-19 wave, in 2021, which lasted from April to July. The mucormycosis disease is commonly known as ""black fungus,"" which belongs to the fungus family Mucorales. It is usually a rare disease, but the level of destruction caused by the disease is vast and unpredictable. This disease mainly targets people already suffering from other diseases and consuming heavy medication to counter the disease they are suffering from. This is because of the reduction in antibodies in the affected people. Therefore, the patient's body does not have the ability to act against fungus-oriented infections. This black fungus is more commonly identified in patients with coronavirus disease in certain country. The condition frequently manifests on skin, but it can also harm organs such as eyes and brain. This study intends to design a modified neural network logic for an artificial intelligence (AI) strategy with learning principles, called a hybrid learning-based neural network classifier (HLNNC). The proposed method is based on well-known techniques such as convolutional neural network (CNN) and support vector machine (SVM). This article discusses a dataset containing several eye photographs of patients with and without black fungus infection. These images were collected from the real-time records of people afflicted with COVID followed by the black fungus. This proposed HLNNC scheme identifies the black fungus disease based on the following image processing procedures: image acquisition, preprocessing, feature extraction, and classification; these procedures were performed considering the dataset training and testing principles with proper performance analysis. The results of the procedure are provided in a graphical format with the precise specification, and the efficacy of the proposed method is established.",other,"['image processing', 'image processing', 'neural network', 'convolutional neural network', 'convolutional neural network']"
32875331,"An Adapted Chronic Constriction Injury of the Sciatic Nerve Produces Sensory, Affective, and Cognitive Impairments: A Peripheral Mononeuropathy Model for the Study of Comorbid Neuropsychiatric Disorders Associated with Neuropathic Pain in Rats","Medeiros P, Dos Santos IR, JÃºnior IM, Palazzo E, da Silva JA, Machado HR, Ferreira SH, Maione S, Coimbra NC, de Freitas RL.",Pain Med. 2021 Feb 23;22(2):338-351. doi: 10.1093/pm/pnaa206.,Medeiros P,Pain Med,2021,2020/09/03,,,10.1093/pm/pnaa206,"BACKGROUND: Chronic constriction injury (CCI) is a model of neuropathic pain induced by four loose ligatures around the sciatic nerve. This work aimed to investigate the sensory, affective, cognitive, and motor changes induced by an adaptation of the CCI model by applying a single ligature around the sciatic nerve.
METHODS: Mechanical allodynia was measured from day 1 to day 28 postsurgery by the von Frey test. The beam walking test (BWT) was conducted weekly until 28âdays after surgery.Â Anxiety- and depression-like behaviors, and cognitive performance were assessed through the open field (OF), forced swimming (FS), and novel object recognition (NOR) tests, respectively, 21âdays after surgery.
RESULTS: The two CCI models, both Bennett and Xie's model (four ligatures of the sciatic nerve) and a modification of it (one ligature), induced mechanical allodynia, increased immobility in the FS, and reduced recognition index in the NOR. The exploratory behavior and time spent in the central part of the arena decreased, while the defensive behavior increased in the OF. The animals subjected to the two CCI models showed motor alterations in the BWT; however, autotomy was observed only in the group with four ligatures and not in the group with a single ligature.
CONCLUSIONS: Overall these results demonstrate that our adapted CCI model, using a single ligature around the sciatic nerve, induces sensory, affective, cognitive, and motor alterations comparable to the CCI model with four ligatures without generating autotomy. This adaptation to the CCI model may therefore represent an appropriate and more easily performed model for inducing neuropathic pain and study underlying mechanisms and effective treatments.",other,"['object recognition', 'object recognition']"
32813684,Characterization of patients with advanced chronic pancreatitis using natural language processing of radiology reports,"Xie F, Chen Q, Zhou Y, Chen W, Bautista J, Nguyen ET, Parker RA, Wu BU.",PLoS One. 2020 Aug 19;15(8):e0236817. doi: 10.1371/journal.pone.0236817. eCollection 2020.,Xie F,PLoS One,2020,2020/08/20,PMC7437899,,10.1371/journal.pone.0236817,"STUDY AIM: To develop and apply a natural language processing algorithm for characterization of patients diagnosed with chronic pancreatitis in a diverse integrated U.S. healthcare system.
METHODS: Retrospective cohort study including patients initially diagnosed with chronic pancreatitis (CP) within a regional integrated healthcare system between January 1, 2006 and December 31, 2015. Imaging reports from these patients were extracted from the electronic medical record system and split into training, validation and implementation datasets. A natural language processing (NLP) algorithm was first developed through the training dataset to identify specific features (atrophy, calcification, pseudocyst, cyst and main duct dilatation) from free-text radiology reports. The validation dataset was applied to validate the performance by comparing against the manual chart review. The developed algorithm was then applied to the implementation dataset. We classified patients with calcification(s) or â¥2 radiographic features as advanced CP. We compared etiology, comorbid conditions, treatment parameters as well as survival between advanced CP and others diagnosed during the study period.
RESULTS: 6,346 patients were diagnosed with CP during the study period with 58,085 radiology studies performed. For individual features, NLP yielded sensitivity from 88.7% to 95.3%, specificity from 98.2% to 100.0%. A total of 3,672 patients met cohort inclusion criteria: 1,330 (36.2%) had evidence of advanced CP. Patients with advanced CP had increased frequency of smoking (57.8% vs. 43.0%), diabetes (47.6% vs. 35.9%) and underweight body mass index (6.6% vs. 3.6%), all p<0.001. Mortality from pancreatic cancer was higher in advanced CP (15.3/1,000 person-year vs. 2.8/1,000, p<0.001). Underweight BMI (HR 1.6, 95% CL 1.2, 2.1), smoking (HR 1.4, 95% CL 1.1, 1.7) and diabetes (HR 1.4, 95% CL 1.2, 1.6) were independent risk factors for mortality.
CONCLUSION: Patients with advanced CP experienced increased disease-related complications and pancreatic cancer-related mortality. Excess all-cause mortality was driven primarily by potentially modifiable risk factors including malnutrition, smoking and diabetes.",other,"['language processing', 'natural language processing', 'language processing', 'natural language processing']"
32437737,"The Aging Imageomics Study: rationale, design and baseline characteristics of the study population","Puig J, Biarnes C, Pedraza S, Vilanova JC, Pamplona R, FernÃ¡ndez-Real JM, Brugada R, Ramos R, Coll-de-Tuero G, Calvo-Perxas L, Serena J, RamiÃ³-TorrentÃ  L, Gich J, Gallart L, Portero-Otin M, Alberich-Bayarri A, Jimenez-Pastor A, Camacho-Ramos E, Mayneris-Perxachs J, Pineda V, Font R, Prats-Puig A, Gacto ML, Deco G, Escrichs A, Clotet B, Paredes R, Negredo E, Triaire B, RodrÃ­guez M, Heredia-EscÃ¡mez A, Coronado R, de Graaf W, Prevost V, Mitulescu A, Daunis-I-Estadella P, ThiÃ³-Henestrosa S, Miralles F, Ribas-Ripoll V, Puig-Domingo M, Essig M, Figley CR, Figley TD, Albensi B, Ashraf A, Reiber JHC, Schifitto G, Md Nasir U, Leiva-Salinas C, Wintermark M, Nael K, Vilalta-Franch J, Barretina J, Garre-Olmo J.",Mech Ageing Dev. 2020 Jul;189:111257. doi: 10.1016/j.mad.2020.111257. Epub 2020 May 11.,Puig J,Mech Ageing Dev,2020,2020/05/22,,,10.1016/j.mad.2020.111257,"Biomarkers of aging are urgently needed to identify individuals at high risk of developing age-associated disease or disability. Growing evidence from population-based studies points to whole-body magnetic resonance imaging's (MRI) enormous potential for quantifying subclinical disease burden and for assessing changes that occur with aging in all organ systems. The Aging Imageomics Study aims to identify biomarkers of human aging by analyzing imaging, biopsychosocial, cardiovascular, metabolomic, lipidomic, and microbiome variables. This study recruited 1030 participants aged â¥50 years (mean 67, range 50-96 years) that underwent structural and functional MRI to evaluate the brain, large blood vessels, heart, abdominal organs, fat, spine, musculoskeletal system and ultrasonography to assess carotid intima-media thickness and plaques. Patients were notified of incidental findings detected by a certified radiologist when necessary. Extensive data were also collected on anthropometrics, demographics, health history, neuropsychology, employment, income, family status, exposure to air pollution and cardiovascular status. In addition, several types of samples were gathered to allow for microbiome, metabolomic and lipidomic profiling. Using big data techniques to analyze all the data points from biological phenotyping together with health records and lifestyle measures, we aim to cultivate a deeper understanding about various biological factors (and combinations thereof) that underlie healthy and unhealthy aging.",other,[]
